name,rating,categories,address,zip_code,embedding_text
Eli's Taqueria,4.6,Restaurant,"3207 Columbia Pike A- UPSTAIRS, Arlington",22201,"Eli's Taqueria. Category: Restaurant. Known for Restaurant dishes. Located at 3207 Columbia Pike A- UPSTAIRS, Arlington. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Ruthie's All-Day,4.6,"Meal Takeaway, Bar","3411 5th St S, Arlington",22201,"Ruthie's All-Day. Category: Meal Takeaway, Bar. Known for Meal Takeaway, Bar dishes. Located at 3411 5th St S, Arlington. Rated 4.6 stars. A popular spot for people craving Meal Takeaway, Bar or similar foods."
pie-tanza,4.6,Restaurant,"2503 N Harrison St, Arlington",22201,"pie-tanza. Category: Restaurant. Known for Restaurant dishes. Located at 2503 N Harrison St, Arlington. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Immigrant Food Ballston,4.6,Restaurant,"4245 Fairfax Dr, Arlington",22201,"Immigrant Food Ballston. Category: Restaurant. Known for Restaurant dishes. Located at 4245 Fairfax Dr, Arlington. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Troy's Italian Kitchen,4.6,Meal Delivery,"2710-B Washington Blvd, Arlington",22201,"Troy's Italian Kitchen. Category: Meal Delivery. Known for Meal Delivery dishes. Located at 2710-B Washington Blvd, Arlington. Rated 4.6 stars. A popular spot for people craving Meal Delivery or similar foods."
The Commentary,4.6,Restaurant,"801 N Glebe Rd, Arlington",22201,"The Commentary. Category: Restaurant. Known for Restaurant dishes. Located at 801 N Glebe Rd, Arlington. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Café Sazón,4.6,"Cafe, Bakery, Store","4704 Columbia Pike, Arlington",22201,"Café Sazón. Category: Cafe, Bakery, Store. Known for Cafe, Bakery, Store dishes. Located at 4704 Columbia Pike, Arlington. Rated 4.6 stars. A popular spot for people craving Cafe, Bakery, Store or similar foods."
Akivva Grill,4.6,Restaurant,"2921 S Glebe Rd, Arlington",22201,"Akivva Grill. Category: Restaurant. Known for Restaurant dishes. Located at 2921 S Glebe Rd, Arlington. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Cafe Colline,4.5,Restaurant,"4536 Langston Blvd., Arlington",22201,"Cafe Colline. Category: Restaurant. Known for Restaurant dishes. Located at 4536 Langston Blvd., Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Ballston Local,4.5,Bar,"900 N Glebe Rd, Arlington",22201,"Ballston Local. Category: Bar. Known for Bar dishes. Located at 900 N Glebe Rd, Arlington. Rated 4.5 stars. A popular spot for people craving Bar or similar foods."
Palette 22,4.5,Restaurant,"4053 Campbell Ave, Arlington",22201,"Palette 22. Category: Restaurant. Known for Restaurant dishes. Located at 4053 Campbell Ave, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Olive Lebanese Eatery Express,4.5,"Cafe, Meal Takeaway","1100 N Glebe Rd Suite GR-3, Arlington",22201,"Olive Lebanese Eatery Express. Category: Cafe, Meal Takeaway. Known for Cafe, Meal Takeaway dishes. Located at 1100 N Glebe Rd Suite GR-3, Arlington. Rated 4.5 stars. A popular spot for people craving Cafe, Meal Takeaway or similar foods."
Green Pig Bistro,4.5,Bar,"2900 Wilson Blvd, Arlington",22201,"Green Pig Bistro. Category: Bar. Known for Bar dishes. Located at 2900 Wilson Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Bar or similar foods."
Two Chefs Pizza,4.5,Meal Delivery,"5019 Wilson Blvd, Arlington",22201,"Two Chefs Pizza. Category: Meal Delivery. Known for Meal Delivery dishes. Located at 5019 Wilson Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Meal Delivery or similar foods."
Mele Bistro,4.5,Restaurant,"1723 Wilson Blvd, Arlington",22201,"Mele Bistro. Category: Restaurant. Known for Restaurant dishes. Located at 1723 Wilson Blvd, Arlington. Rated 4.5 stars. A popular spot for people craving Restaurant or similar foods."
Soca Fusion,4.4,Restaurant,"3205 Columbia Pike, Arlington",22201,"Soca Fusion. Category: Restaurant. Known for Restaurant dishes. Located at 3205 Columbia Pike, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
True Food Kitchen,4.4,Meal Takeaway,"4238 Wilson Blvd Suite 1110, Arlington",22201,"True Food Kitchen. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 4238 Wilson Blvd Suite 1110, Arlington. Rated 4.4 stars. A popular spot for people craving Meal Takeaway or similar foods."
Istanbul Grill Virginia,4.4,Restaurant,"4617 Wilson Blvd, Arlington",22201,"Istanbul Grill Virginia. Category: Restaurant. Known for Restaurant dishes. Located at 4617 Wilson Blvd, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Ragtime Restaurant,4.4,Bar,"1345 N Courthouse Rd, Arlington",22201,"Ragtime Restaurant. Category: Bar. Known for Bar dishes. Located at 1345 N Courthouse Rd, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
Lebanese Taverna,4.4,Bar,"5900 Washington Blvd, Arlington",22201,"Lebanese Taverna. Category: Bar. Known for Bar dishes. Located at 5900 Washington Blvd, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
Federico Ristorante Italiano,4.4,Restaurant,"519 23rd St S, Arlington",22201,"Federico Ristorante Italiano. Category: Restaurant. Known for Restaurant dishes. Located at 519 23rd St S, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
CIRCA at Clarendon,4.4,Bar,"3010 Clarendon Blvd, Arlington",22201,"CIRCA at Clarendon. Category: Bar. Known for Bar dishes. Located at 3010 Clarendon Blvd, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
Union Kitchen Ballston,4.4,"Convenience Store, Cafe, Grocery Or Supermarket","4238 Wilson Blvd, Arlington",22201,"Union Kitchen Ballston. Category: Convenience Store, Cafe, Grocery Or Supermarket. Known for Convenience Store, Cafe, Grocery Or Supermarket dishes. Located at 4238 Wilson Blvd, Arlington. Rated 4.4 stars. A popular spot for people craving Convenience Store, Cafe, Grocery Or Supermarket or similar foods."
Busboys And Poets,4.4,"Cafe, Book Store, Bar","4251 Campbell Ave, Arlington",22201,"Busboys And Poets. Category: Cafe, Book Store, Bar. Known for Cafe, Book Store, Bar dishes. Located at 4251 Campbell Ave, Arlington. Rated 4.4 stars. A popular spot for people craving Cafe, Book Store, Bar or similar foods."
Marketplace Cafe,4.4,Restaurant,"1400 S Hayes St, Arlington",22201,"Marketplace Cafe. Category: Restaurant. Known for Restaurant dishes. Located at 1400 S Hayes St, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
SER Restaurant,4.4,Restaurant,"1110 N Glebe Rd, Arlington",22201,"SER Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 1110 N Glebe Rd, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Enjera Restaurant,4.4,Bar,"549 23rd St S, Arlington",22201,"Enjera Restaurant. Category: Bar. Known for Bar dishes. Located at 549 23rd St S, Arlington. Rated 4.4 stars. A popular spot for people craving Bar or similar foods."
Bob & Edith's Diner - Columbia Pike,4.4,Restaurant,"2310 Columbia Pike, Arlington",22201,"Bob & Edith's Diner - Columbia Pike. Category: Restaurant. Known for Restaurant dishes. Located at 2310 Columbia Pike, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
NiHao Arlington,4.4,Restaurant,"1550 Crystal Dr Suite F, Arlington",22201,"NiHao Arlington. Category: Restaurant. Known for Restaurant dishes. Located at 1550 Crystal Dr Suite F, Arlington. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Corso Italian,4.3,"Grocery Or Supermarket, Store","4024 Campbell Ave, Arlington",22201,"Corso Italian. Category: Grocery Or Supermarket, Store. Known for Grocery Or Supermarket, Store dishes. Located at 4024 Campbell Ave, Arlington. Rated 4.3 stars. A popular spot for people craving Grocery Or Supermarket, Store or similar foods."
WHINO,4.3,"Art Gallery, Bar","4238 Wilson Blvd Second Floor, Arlington",22201,"WHINO. Category: Art Gallery, Bar. Known for Art Gallery, Bar dishes. Located at 4238 Wilson Blvd Second Floor, Arlington. Rated 4.3 stars. A popular spot for people craving Art Gallery, Bar or similar foods."
William Jeffrey's Tavern,4.3,Restaurant,"2301 Columbia Pike Suite 101, Arlington",22201,"William Jeffrey's Tavern. Category: Restaurant. Known for Restaurant dishes. Located at 2301 Columbia Pike Suite 101, Arlington. Rated 4.3 stars. A popular spot for people craving Restaurant or similar foods."
Lebanese Taverna,4.3,Bar,"1101 S Joyce St, Arlington",22201,"Lebanese Taverna. Category: Bar. Known for Bar dishes. Located at 1101 S Joyce St, Arlington. Rated 4.3 stars. A popular spot for people craving Bar or similar foods."
Grand Cru Wine Bar and Bistro,4.3,Bar,"4301 Wilson Blvd #100, Arlington",22201,"Grand Cru Wine Bar and Bistro. Category: Bar. Known for Bar dishes. Located at 4301 Wilson Blvd #100, Arlington. Rated 4.3 stars. A popular spot for people craving Bar or similar foods."
Inca Social,4.3,Restaurant,"1776 Wilson Blvd Unit #1, Arlington",22201,"Inca Social. Category: Restaurant. Known for Restaurant dishes. Located at 1776 Wilson Blvd Unit #1, Arlington. Rated 4.3 stars. A popular spot for people craving Restaurant or similar foods."
The Portofino Restaurant,4.2,Bar,"526 23rd St S, Arlington",22201,"The Portofino Restaurant. Category: Bar. Known for Bar dishes. Located at 526 23rd St S, Arlington. Rated 4.2 stars. A popular spot for people craving Bar or similar foods."
Sfoglina Rosslyn,4.2,Restaurant,"1100 Wilson Blvd, Arlington",22201,"Sfoglina Rosslyn. Category: Restaurant. Known for Restaurant dishes. Located at 1100 Wilson Blvd, Arlington. Rated 4.2 stars. A popular spot for people craving Restaurant or similar foods."
Taste of Egypt,4.2,Restaurant,"5515 Wilson Blvd, Arlington",22201,"Taste of Egypt. Category: Restaurant. Known for Restaurant dishes. Located at 5515 Wilson Blvd, Arlington. Rated 4.2 stars. A popular spot for people craving Restaurant or similar foods."
Awbrey & Sons Restaurant,4.1,Restaurant,"1325 Wilson Blvd, Arlington",22201,"Awbrey & Sons Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 1325 Wilson Blvd, Arlington. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Rooftop Recess,4.0,Restaurant,"2424 Wilson Blvd, Arlington",22201,"Rooftop Recess. Category: Restaurant. Known for Restaurant dishes. Located at 2424 Wilson Blvd, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Ruffino's Spaghetti House,4.0,"Meal Delivery, Meal Takeaway","4763 Langston Blvd., Arlington",22201,"Ruffino's Spaghetti House. Category: Meal Delivery, Meal Takeaway. Known for Meal Delivery, Meal Takeaway dishes. Located at 4763 Langston Blvd., Arlington. Rated 4 stars. A popular spot for people craving Meal Delivery, Meal Takeaway or similar foods."
DOS GENERACIONES RESTAURANT,4.0,Restaurant,"36 S Glebe Rd, Arlington",22201,"DOS GENERACIONES RESTAURANT. Category: Restaurant. Known for Restaurant dishes. Located at 36 S Glebe Rd, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Santé,4.0,Restaurant,"1250 S Hayes St, Arlington",22201,"Santé. Category: Restaurant. Known for Restaurant dishes. Located at 1250 S Hayes St, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
BELL20 Restaurant,3.9,Restaurant,"1999 Richmond Hwy, Arlington",22201,"BELL20 Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 1999 Richmond Hwy, Arlington. Rated 3.9 stars. A popular spot for people craving Restaurant or similar foods."
Billy's Deli Cafe,3.9,"Meal Delivery, Store","3907 Langston Blvd., Arlington",22201,"Billy's Deli Cafe. Category: Meal Delivery, Store. Known for Meal Delivery, Store dishes. Located at 3907 Langston Blvd., Arlington. Rated 3.9 stars. A popular spot for people craving Meal Delivery, Store or similar foods."
SOCCi,3.9,Bar,"2800 Potomac Ave, Arlington",22201,"SOCCi. Category: Bar. Known for Bar dishes. Located at 2800 Potomac Ave, Arlington. Rated 3.9 stars. A popular spot for people craving Bar or similar foods."
15th & Eads,3.8,Restaurant,"1700 Richmond Hwy, Arlington",22201,"15th & Eads. Category: Restaurant. Known for Restaurant dishes. Located at 1700 Richmond Hwy, Arlington. Rated 3.8 stars. A popular spot for people craving Restaurant or similar foods."
The Bistro - Eat. Drink. Connect.®,3.8,Restaurant,"2899 Richmond Hwy, Arlington",22201,"The Bistro - Eat. Drink. Connect.®. Category: Restaurant. Known for Restaurant dishes. Located at 2899 Richmond Hwy, Arlington. Rated 3.8 stars. A popular spot for people craving Restaurant or similar foods."
Cafe Italia,3.7,Restaurant,"519 23rd St S, Arlington",22201,"Cafe Italia. Category: Restaurant. Known for Restaurant dishes. Located at 519 23rd St S, Arlington. Rated 3.7 stars. A popular spot for people craving Restaurant or similar foods."
Amuse,3.4,Bar,"1121 19th St N 4th Floor, Arlington",22201,"Amuse. Category: Bar. Known for Bar dishes. Located at 1121 19th St N 4th Floor, Arlington. Rated 3.4 stars. A popular spot for people craving Bar or similar foods."
